mask     ok?       cycles      CM/MHz  passes
0x50f    pass      797614    1.325917  [fold_br,dead_blocks,copy_prop,cse,unroll,leg_f]
0x200    pass      800790    1.326502  [leg_e]
0x201    pass      800790    1.326502  [fold_br,leg_e]
0x202    pass      800790    1.326502  [dead_blocks,leg_e]
0x203    pass      800790    1.326502  [fold_br,dead_blocks,leg_e]
0x300    pass      800790    1.326502  [unroll,leg_e]
0x301    pass      800790    1.326502  [fold_br,unroll,leg_e]
0x302    pass      800790    1.326502  [dead_blocks,unroll,leg_e]
0x303    pass      800790    1.326502  [fold_br,dead_blocks,unroll,leg_e]
0x208    pass      799995    1.326527  [cse,leg_e]
0x209    pass      799995    1.326527  [fold_br,cse,leg_e]
0x20a    pass      799995    1.326527  [dead_blocks,cse,leg_e]
0x20b    pass      799995    1.326527  [fold_br,dead_blocks,cse,leg_e]
0x308    pass      799995    1.326527  [cse,unroll,leg_e]
0x309    pass      799995    1.326527  [fold_br,cse,unroll,leg_e]
0x30a    pass      799995    1.326527  [dead_blocks,cse,unroll,leg_e]
0x30b    pass      799995    1.326527  [fold_br,dead_blocks,cse,unroll,leg_e]
0x204    pass      800550    1.326819  [copy_prop,leg_e]
0x205    pass      800550    1.326819  [fold_br,copy_prop,leg_e]
0x304    pass      800550    1.326819  [copy_prop,unroll,leg_e]
0x305    pass      800550    1.326819  [fold_br,copy_prop,unroll,leg_e]
0x206    pass      800404    1.326837  [dead_blocks,copy_prop,leg_e]
0x207    pass      800404    1.326837  [fold_br,dead_blocks,copy_prop,leg_e]
0x306    pass      800404    1.326837  [dead_blocks,copy_prop,unroll,leg_e]
0x307    pass      800404    1.326837  [fold_br,dead_blocks,copy_prop,unroll,leg_e]
0x20c    pass      799755    1.326844  [copy_prop,cse,leg_e]
0x20d    pass      799755    1.326844  [fold_br,copy_prop,cse,leg_e]
0x30c    pass      799755    1.326844  [copy_prop,cse,unroll,leg_e]
0x30d    pass      799755    1.326844  [fold_br,copy_prop,cse,unroll,leg_e]
0x20e    pass      799609    1.326861  [dead_blocks,copy_prop,cse,leg_e]
0x20f    pass      799609    1.326861  [fold_br,dead_blocks,copy_prop,cse,leg_e]
0x30e    pass      799609    1.326861  [dead_blocks,copy_prop,cse,unroll,leg_e]
0x30f    pass      799609    1.326861  [fold_br,dead_blocks,copy_prop,cse,unroll,leg_e]
0x020    pass      800646    1.327881  [narrow_loads]
0x021    pass      800646    1.327881  [fold_br,narrow_loads]
0x022    pass      800646    1.327881  [dead_blocks,narrow_loads]
0x023    pass      800646    1.327881  [fold_br,dead_blocks,narrow_loads]
0x120    pass      800646    1.327881  [narrow_loads,unroll]
0x121    pass      800646    1.327881  [fold_br,narrow_loads,unroll]
0x122    pass      800646    1.327881  [dead_blocks,narrow_loads,unroll]
0x123    pass      800646    1.327881  [fold_br,dead_blocks,narrow_loads,unroll]
0x024    pass      800406    1.328199  [copy_prop,narrow_loads]
0x025    pass      800406    1.328199  [fold_br,copy_prop,narrow_loads]
0x124    pass      800406    1.328199  [copy_prop,narrow_loads,unroll]
0x125    pass      800406    1.328199  [fold_br,copy_prop,narrow_loads,unroll]
0x026    pass      800260    1.328217  [dead_blocks,copy_prop,narrow_loads]
0x027    pass      800260    1.328217  [fold_br,dead_blocks,copy_prop,narrow_loads]
0x126    pass      800260    1.328217  [dead_blocks,copy_prop,narrow_loads,unroll]
0x127    pass      800260    1.328217  [fold_br,dead_blocks,copy_prop,narrow_loads,unroll]
0x028    pass      799463    1.328577  [cse,narrow_loads]
0x029    pass      799463    1.328577  [fold_br,cse,narrow_loads]
0x02a    pass      799463    1.328577  [dead_blocks,cse,narrow_loads]
0x02b    pass      799463    1.328577  [fold_br,dead_blocks,cse,narrow_loads]
0x128    pass      799463    1.328577  [cse,narrow_loads,unroll]
0x129    pass      799463    1.328577  [fold_br,cse,narrow_loads,unroll]
0x12a    pass      799463    1.328577  [dead_blocks,cse,narrow_loads,unroll]
0x12b    pass      799463    1.328577  [fold_br,dead_blocks,cse,narrow_loads,unroll]
0x02c    pass      799223    1.328894  [copy_prop,cse,narrow_loads]
0x02d    pass      799223    1.328894  [fold_br,copy_prop,cse,narrow_loads]
0x12c    pass      799223    1.328894  [copy_prop,cse,narrow_loads,unroll]
0x12d    pass      799223    1.328894  [fold_br,copy_prop,cse,narrow_loads,unroll]
0x02e    pass      799077    1.328912  [dead_blocks,copy_prop,cse,narrow_loads]
0x02f    pass      799077    1.328912  [fold_br,dead_blocks,copy_prop,cse,narrow_loads]
0x12e    pass      799077    1.328912  [dead_blocks,copy_prop,cse,narrow_loads,unroll]
0x12f    pass      799077    1.328912  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,unroll]
0x440    pass      795873    1.330284  [licm_const,leg_f]
0x441    pass      795873    1.330284  [fold_br,licm_const,leg_f]
0x442    pass      795873    1.330284  [dead_blocks,licm_const,leg_f]
0x443    pass      795873    1.330284  [fold_br,dead_blocks,licm_const,leg_f]
0x540    pass      795873    1.330284  [licm_const,unroll,leg_f]
0x541    pass      795873    1.330284  [fold_br,licm_const,unroll,leg_f]
0x542    pass      795873    1.330284  [dead_blocks,licm_const,unroll,leg_f]
0x543    pass      795873    1.330284  [fold_br,dead_blocks,licm_const,unroll,leg_f]
0x444    pass      795633    1.330603  [copy_prop,licm_const,leg_f]
0x445    pass      795633    1.330603  [fold_br,copy_prop,licm_const,leg_f]
0x544    pass      795633    1.330603  [copy_prop,licm_const,unroll,leg_f]
0x545    pass      795633    1.330603  [fold_br,copy_prop,licm_const,unroll,leg_f]
0x446    pass      795623    1.330620  [dead_blocks,copy_prop,licm_const,leg_f]
0x447    pass      795623    1.330620  [fold_br,dead_blocks,copy_prop,licm_const,leg_f]
0x546    pass      795623    1.330620  [dead_blocks,copy_prop,licm_const,unroll,leg_f]
0x547    pass      795623    1.330620  [fold_br,dead_blocks,copy_prop,licm_const,unroll,leg_f]
0x240    pass      797830    1.331660  [licm_const,leg_e]
0x241    pass      797830    1.331660  [fold_br,licm_const,leg_e]
0x242    pass      797830    1.331660  [dead_blocks,licm_const,leg_e]
0x243    pass      797830    1.331660  [fold_br,dead_blocks,licm_const,leg_e]
0x340    pass      797830    1.331660  [licm_const,unroll,leg_e]
0x341    pass      797830    1.331660  [fold_br,licm_const,unroll,leg_e]
0x342    pass      797830    1.331660  [dead_blocks,licm_const,unroll,leg_e]
0x343    pass      797830    1.331660  [fold_br,dead_blocks,licm_const,unroll,leg_e]
0x068    pass      797687    1.331676  [cse,narrow_loads,licm_const]
0x069    pass      797687    1.331676  [fold_br,cse,narrow_loads,licm_const]
0x06a    pass      797687    1.331676  [dead_blocks,cse,narrow_loads,licm_const]
0x06b    pass      797687    1.331676  [fold_br,dead_blocks,cse,narrow_loads,licm_const]
0x168    pass      797687    1.331676  [cse,narrow_loads,licm_const,unroll]
0x169    pass      797687    1.331676  [fold_br,cse,narrow_loads,licm_const,unroll]
0x16a    pass      797687    1.331676  [dead_blocks,cse,narrow_loads,licm_const,unroll]
0x16b    pass      797687    1.331676  [fold_br,dead_blocks,cse,narrow_loads,licm_const,unroll]
0x248    pass      797035    1.331685  [cse,licm_const,leg_e]
0x249    pass      797035    1.331685  [fold_br,cse,licm_const,leg_e]
0x24a    pass      797035    1.331685  [dead_blocks,cse,licm_const,leg_e]
